fecha;canal;asesores
2024-01-04;App;13
2024-01-04;Telefono;11
2024-01-04;Agencia;4
2024-01-05;App;11
2024-01-05;Telefono;12
2024-01-05;Agencia;4
2024-01-08;App;8
2024-01-08;Telefono;18
2024-01-08;Agencia;4
2024-01-09;App;12
2024-01-09;Telefono;16
2024-01-09;Agencia;4
2024-01-10;App;8
2024-01-10;Telefono;11
2024-01-10;Agencia;5
2024-01-11;App;9
2024-01-11;Telefono;18
2024-01-11;Agencia;8
2024-01-12;App;8
2024-01-12;Telefono;10
2024-01-12;Agencia;6
2024-01-15;App;12
2024-01-15;Telefono;16
2024-01-15;Agencia;5
2024-01-16;App;11
2024-01-16;Telefono;14
2024-01-16;Agencia;4
2024-01-17;App;14
2024-01-17;Telefono;12
2024-01-17;Agencia;9
2024-01-18;App;11
2024-01-18;Telefono;15
2024-01-18;Agencia;6
2024-01-19;App;8
2024-01-19;Telefono;14
2024-01-19;Agencia;4
2024-01-22;App;8
2024-01-22;Telefono;15
2024-01-22;Agencia;6
2024-01-23;App;12
2024-01-23;Telefono;14
2024-01-23;Agencia;4
2024-01-24;App;13
2024-01-24;Telefono;17
2024-01-24;Agencia;8
2024-01-25;App;8
2024-01-25;Telefono;16
2024-01-25;Agencia;4
2024-01-26;App;10
2024-01-26;Telefono;12
2024-01-26;Agencia;4
2024-01-29;App;8
2024-01-29;Telefono;10
2024-01-29;Agencia;9
2024-01-30;App;9
2024-01-30;Telefono;14
2024-01-30;Agencia;4
2024-01-31;App;14
2024-01-31;Telefono;13
2024-01-31;Agencia;4
2024-02-01;App;11
2024-02-01;Telefono;14
2024-02-01;Agencia;7
2024-02-02;App;11
2024-02-02;Telefono;10
2024-02-02;Agencia;5
2024-02-05;App;13
2024-02-05;Telefono;14
2024-02-05;Agencia;9
2024-02-06;App;13
2024-02-06;Telefono;11
2024-02-06;Agencia;8
2024-02-07;App;13
2024-02-07;Telefono;12
2024-02-07;Agencia;8
2024-02-08;App;13
2024-02-08;Telefono;13
2024-02-08;Agencia;5
2024-02-09;App;9
2024-02-09;Telefono;11
2024-02-09;Agencia;6
2024-02-12;App;9
2024-02-12;Telefono;15
2024-02-12;Agencia;4
2024-02-13;App;9
2024-02-13;Telefono;10
2024-02-13;Agencia;6
2024-02-14;App;11
2024-02-14;Telefono;14
2024-02-14;Agencia;4
2024-02-15;App;9
2024-02-15;Telefono;15
2024-02-15;Agencia;5
2024-02-16;App;11
2024-02-16;Telefono;13
2024-02-16;Agencia;6
2024-02-19;App;10
2024-02-19;Telefono;12
2024-02-19;Agencia;5
2024-02-20;App;13
2024-02-20;Telefono;18
2024-02-20;Agencia;8
2024-02-21;App;10
2024-02-21;Telefono;16
2024-02-21;Agencia;8
2024-02-22;App;11
2024-02-22;Telefono;15
2024-02-22;Agencia;5
2024-02-23;App;8
2024-02-23;Telefono;16
2024-02-23;Agencia;4
2024-02-26;App;9
2024-02-26;Telefono;12
2024-02-26;Agencia;9
2024-02-27;App;11
2024-02-27;Telefono;11
2024-02-27;Agencia;7
2024-02-28;App;11
2024-02-28;Telefono;17
2024-02-28;Agencia;8
2024-02-29;App;10
2024-02-29;Telefono;18
2024-02-29;Agencia;4
2024-03-01;App;10
2024-03-01;Telefono;10
2024-03-01;Agencia;6
2024-03-04;App;14
2024-03-04;Telefono;15
2024-03-04;Agencia;4
2024-03-05;App;10
2024-03-05;Telefono;16
2024-03-05;Agencia;5
2024-03-06;App;11
2024-03-06;Telefono;10
2024-03-06;Agencia;9
2024-03-07;App;13
2024-03-07;Telefono;14
2024-03-07;Agencia;8
2024-03-08;App;13
2024-03-08;Telefono;17
2024-03-08;Agencia;7
2024-03-11;App;14
2024-03-11;Telefono;18
2024-03-11;Agencia;8
2024-03-12;App;9
2024-03-12;Telefono;12
2024-03-12;Agencia;6
2024-03-13;App;14
2024-03-13;Telefono;12
2024-03-13;Agencia;8
2024-03-14;App;14
2024-03-14;Telefono;18
2024-03-14;Agencia;4
2024-03-15;App;10
2024-03-15;Telefono;16
2024-03-15;Agencia;4
2024-03-18;App;14
2024-03-18;Telefono;14
2024-03-18;Agencia;5
2024-03-19;App;8
2024-03-19;Telefono;13
2024-03-19;Agencia;8
2024-03-20;App;8
2024-03-20;Telefono;11
2024-03-20;Agencia;9
2024-03-21;App;11
2024-03-21;Telefono;11
2024-03-21;Agencia;8
2024-03-22;App;13
2024-03-22;Telefono;10
2024-03-22;Agencia;4
2024-03-25;App;9
2024-03-25;Telefono;14
2024-03-25;Agencia;8
2024-03-26;App;14
2024-03-26;Telefono;16
2024-03-26;Agencia;5
2024-03-27;App;12
2024-03-27;Telefono;13
2024-03-27;Agencia;9
2024-03-28;App;10
2024-03-28;Telefono;16
2024-03-28;Agencia;9
2024-03-29;App;11
2024-03-29;Telefono;14
2024-03-29;Agencia;6
2024-04-01;App;9
2024-04-01;Telefono;13
2024-04-01;Agencia;4
2024-04-02;App;10
2024-04-02;Telefono;10
2024-04-02;Agencia;8
2024-04-03;App;12
2024-04-03;Telefono;13
2024-04-03;Agencia;8
2024-04-04;App;9
2024-04-04;Telefono;10
2024-04-04;Agencia;4
2024-04-05;App;10
2024-04-05;Telefono;10
2024-04-05;Agencia;4
2024-04-08;App;14
2024-04-08;Telefono;15
2024-04-08;Agencia;4
2024-04-09;App;12
2024-04-09;Telefono;13
2024-04-09;Agencia;6
2024-04-10;App;13
2024-04-10;Telefono;17
2024-04-10;Agencia;5
2024-04-11;App;12
2024-04-11;Telefono;12
2024-04-11;Agencia;9
2024-04-12;App;9
2024-04-12;Telefono;16
2024-04-12;Agencia;5
2024-04-15;App;9
2024-04-15;Telefono;11
2024-04-15;Agencia;4
2024-04-16;App;13
2024-04-16;Telefono;16
2024-04-16;Agencia;6
2024-04-17;App;11
2024-04-17;Telefono;16
2024-04-17;Agencia;7
2024-04-18;App;14
2024-04-18;Telefono;10
2024-04-18;Agencia;9
2024-04-19;App;10
2024-04-19;Telefono;10
2024-04-19;Agencia;4
2024-04-22;App;10
2024-04-22;Telefono;11
2024-04-22;Agencia;5
2024-04-23;App;9
2024-04-23;Telefono;13
2024-04-23;Agencia;8
2024-04-24;App;11
2024-04-24;Telefono;12
2024-04-24;Agencia;7
2024-04-25;App;9
2024-04-25;Telefono;14
