"","issue_id","created_date","issue_region","nps_score","nps_category","nps_sentiment","nps_sentiment_type","sla_adherence"
"1","ENT-18361",2023-07-31,"AMER",NA,NA,NA,NA,0.518518519
"2","ENT-30765",2024-02-08,"EMEA",NA,NA,NA,NA,1
"3","ENT-31037",2024-02-12,"AMER",NA,NA,NA,NA,0.947368421
"4","ENT-32126",2024-02-26,"AMER",NA,NA,NA,NA,0.764705882
"5","ENT-34019",2024-03-12,"AMER",NA,NA,NA,NA,0.823529412
"6","ENT-34383",2024-03-18,"EMEA",NA,NA,NA,NA,0.75
"7","ENT-34571",2024-03-19,"AMER",NA,NA,NA,NA,0.52
"8","ENT-35196",2024-03-26,"EMEA",NA,NA,NA,NA,1
"9","ENT-35246",2024-03-27,"EMEA",10,"Promoter",0.428571428571429,"Positive",1
"10","ENT-35416",2024-03-28,"AMER",NA,NA,NA,NA,1
"11","ENT-35493",2024-03-29,"AMER",NA,NA,NA,NA,0.888888889
"12","ENT-35903",2024-04-04,"EMEA",NA,NA,NA,NA,0.875
"13","ENT-36154",2024-04-08,"AMER",9,"Promoter",0.333333333333333,"Positive",0.965517241
"14","ENT-36181",2024-04-08,"AMER",NA,NA,NA,NA,0.928571429
"15","ENT-36310",2024-04-10,"EMEA",10,"Promoter",0.333333333333333,"Positive",0.896551724
"16","ENT-36760",2024-04-15,"AMER",NA,NA,NA,NA,0.6
"17","ENT-36852",2024-04-16,"EMEA",NA,NA,NA,NA,0.935483871
"18","ENT-37042",2024-04-18,"AMER",NA,NA,NA,NA,1
"19","ENT-37049",2024-04-17,"APAC",NA,NA,NA,NA,0.681818182
"20","ENT-37116",2024-04-18,"AMER",NA,NA,NA,NA,1
"21","ENT-37125",2024-04-18,"AMER",NA,NA,NA,NA,0.823529412
"22","ENT-37289",2024-04-22,"EMEA",NA,NA,NA,NA,1
"23","ENT-37302",2024-04-22,"EMEA",10,"Promoter",0.304347826086957,"Positive",1
"24","ENT-37525",2024-04-24,"APAC",NA,NA,NA,NA,0.666666667
"25","ENT-37776",2024-04-26,"APAC",NA,NA,NA,NA,0.857142857
"26","ENT-37777",2024-04-26,"APAC",NA,NA,NA,NA,0.875
"27","ENT-37884",2024-04-29,"EMEA",NA,NA,NA,NA,0.945454545
"28","ENT-37961",2024-04-29,"AMER",NA,NA,NA,NA,1
"29","ENT-37986",2024-04-30,"EMEA",NA,NA,NA,NA,0.933333333
"30","ENT-38028",2024-04-30,"EMEA",10,"Promoter",NA,NA,0.333333333
"31","ENT-38043",2024-04-30,"AMER",NA,NA,NA,NA,0.818181818
